,Emotion,URLs,color
50,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVc3PZqBqh8fPRyIlNg4sLYlWDDmJSjanLcaYP4B9eP5MWxzuNZujaXC-U-A&s,"(79, 51, 40)"
51,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_EogQKByrASU3XZeU_iG1TIsdDMHQwj-pvCjQCKYh4TscQPhQRPbUxpmX0w&s,"(42, 42, 42)"
52,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRS5sGx042rh0eNlPiAZbEcLJOIUJxHoOxTA-upDZxsWvX8LCvcq3u4U3BR-Bw&s,"(239, 179, 46)"
53,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS16vXxyBXWy0zc37B5x0HUVastUXYrD9Zf-_qJQTDVRO5ZSBF7JytSO9R-MsI&s,"(192, 210, 214)"
54,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjwtPQ4nvlwMphwBQp5BngVAl3x80g4IKADKytqFYIoRuttIFnWxeMPjC5Ng&s,"(156, 188, 188)"
55,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSODHb2SwxObMyr12bRC87_muAHwWiT7i_niG_1GAJSO5_SFShkpuL6OJjFw&s,"(37, 32, 30)"
56,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMF31CdH7HZwOd5eI8IQr8QdWHhK3oQcfHrx-jsczVBDB2b3wp5r3yn6s88F8&s,"(234, 197, 80)"
57,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3opGrfnSMz_jK1t_1zqxsLyDOPjEIQpXCdbNxju10f6kkRQUPBIUxC0oM4sw&s,"(200, 185, 155)"
58,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_zWW2KeaZjiZboF7N1cS4KmONr_5CvUHQYnb2Dp9RUoOjpTDj7ZLgLRUVbg&s,"(40, 38, 39)"
59,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhLMhOYYBayijmlxbeAqHCTZGfV54DCA2wwdq3Ue9YqtNFgSVnEt6kETFOZoE&s,"(33, 33, 33)"
60,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlyrAFDS0IVG4r6R41ot1jQBPLu-6yLhSv0BsNJbUuIF7q08-993OSOrw9SA&s,"(76, 57, 75)"
61,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIbNqUqwi41r7X82mP3Y6kuvP7Hy9uR-ldReKKqubVeKmTSBG143aa2HPAN3E&s,"(234, 229, 220)"
62,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSd1lAAgwHVZgB4nCm2ORy2APiWPrejy70fdXM08sKzUVoUI03ial3J-tKDA&s,"(238, 235, 230)"
63,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcT1r7z2y5G0NMTIu6jffs2WAm7lTD6s4zqKvfw6DQmckWeIm4ge615Xbt4jo&s,"(229, 223, 225)"
64,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTxpAtnHh32tcUfDqBgfsaVnkwwVeW-iRzow3sLBCajymycX5wzC9PHO9CZ30&s,"(232, 226, 204)"
65,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3r7DbdtxnaLjkHgu2OqabA8ujJgr0JqObRtFGKNZw_B_K9btFY2IoT_P8Rw&s,"(128, 163, 203)"
66,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQa4JQEQo0xwIdDriYtI-xyaYqf4zhRabSvB9fBC5SWA7idLgh_PlaxnFoKyug&s,"(241, 215, 205)"
67,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTASo0Dtu0phhdscNRbFPCHqNX9Zz0CSf_Oa_xtS-1vjySdedirCVWNQ6bykg&s,"(121, 114, 101)"
68,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0ZkYWoirIv2MaSxhrguSypIAQFkucI6i6ARPNmhekFnjJhzmT6J5H_61lEw&s,"(186, 189, 195)"
69,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsKd1uzfuCU0bgDk82vq-GjdOMWMg19iAlVvcRl_mS2wz9T30mrjcKsC67YQ&s,"(229, 221, 221)"
70,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeoMI5lUteOiA6A6Cr_Mso4AbKvNDfObrbn0Nz8-O3324eTDFpy3wDGq8oR_k&s,"(46, 75, 97)"
71,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk0RxUFzKsSmmo8p4ZtCIkWTcFyVEq22oeHON854yKX_V9Ftf_Yc0XcPm6cJI&s,"(82, 37, 15)"
72,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5083FuSF9A0OYLJHULuM-nsyRwaZ4WCFmAb2TRGtRs0vMf2y1nhtPcCyCUsc&s,"(194, 136, 132)"
73,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3iiFfW6Vmyie3Y8KbQ5dmKQf3ryIO1IvAH3Pm4Top9AxND6KPAvSikjbkjA&s,"(20, 32, 67)"
74,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ023k1UeoN-aAfyju1DkPGuqE9exxfd68zEobJJ2QQtRz2qJ-CTJYDsumwuA&s,"(236, 201, 129)"
75,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaEUSd05obiDvzfwvjnOKQBd_B_TBoXIuSALcAAgDkE8BtYKE1O4UHihOiDA&s,"(197, 192, 217)"
76,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD-a2AIwTZ4bsdSKxl-OmxN_8ldBCVLr9IO_JLLlb6wne9oP1u1P-cu05aWg&s,"(31, 21, 18)"
77,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrrhAfzhHc45ImEH0WCJn_mMW4Szo1ZTaGUEpKRnLpvXRolYUpqGIypBd9sw&s,"(212, 209, 203)"
